Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
The Spy Who Dumped Me,LGF,33562069,3111,12103043,3111,8/3/2018,Susanna Fogel,Justin Theroux,6,Action,8
The Star,Sony,40852824,2976,9812674,2837,11/17/2017,Timothy Reckart,Steven Yeun,6,Comedy,11
The Stepford Wives,Par.,59484742,3057,21406781,3057,6/11/2004,Frank Oz,Nicole Kidman,6,Comedy,6
The Story of Us,Uni.,27100031,2175,9673080,2164,10/15/1999,Rob Reiner,Bruce Willis,6,Comedy,10
The Strangers,Rog.,52597610,2477,20997985,2466,5/30/2008, Bryan Bertino," 
Liv Tyler",6,Thriller,5
The Sum of All Fears,Par.,118907036,3230,31178526,3183,5/31/2002,Phil Alden Robinson,Ben Affleck,6,Thriller,5
The Sweetest Thing,Sony,24718164,2670,9430667,2670,4/12/2002,Roger Kumble,Cameron Diaz,5,Romance,4
The Switch,Mira.,27779426,2017,8436713,2012,8/20/2010," 
Josh Gordon"," 
Jennifer Aniston",6,Comedy,8
The Taking of Pelham 1 2 3,Sony,65452312,3077,23373102,3074,6/12/2009,Tony Scott,Denzel Washington,6,Thriller,6
The Tale of Despereaux,Uni.,50877145,3107,10103675,3104,12/19/2008, Sam Fell, Matthew Broderick,6,Adventure,12
The Talented Mr. Ripley,Par.,81298265,2369,12738237,2307,12/25/1999,Anthony Minghella,Matt Damon,7,Thriller,12
The Terminal,DW,77872883,2914,19053199,2811,6/18/2004,Steven Spielberg,Tom Hanks,7,Comedy,6
The Texas Chainsaw Massacre,NL,80571655,3018,28094014,3016,10/17/2003,Marcus Nispel,Jessica Biel,6,Horror,10
The Texas Chainsaw Massacre: The Beginning,NL,39517763,2820,18508228,2820,10/6/2006,Jonathan Liebesman,Jordana Brewster,6,Horror,10
The Theory of Everything,Focus,35893537,1220,208763,5,11/7/2014,James Marsh,Eddie Redmayne,7,Drama,11
The Thomas Crown Affair,MGM,69305181,2427,14600719,2427,8/6/1999,John McTiernan,Pierce Brosnan,7,Drama,8
The Three Stooges,Fox,44338224,3482,17010125,3477,4/13/2012,Bobby Farrelly,Sean Hayes,6,Comedy,4
The Tigger Movie,BV,45554533,2818,9427532,2723,2/11/2000,Jun Falkenstein,Jim Cummings,6,Animation,2
The Time Machine,DW,56832494,2958,22610437,2944,3/8/2002,Simon Wells,Guy Pearce,6,Science Fiction,3
The Tourist,Sony,67631157,2756,16472458,2756,12/10/2010, Florian Henckel von ," 
Angelina Jolie",6,Action,12
The Town,WB,92186262,2935,23808032,2861,9/17/2010, Ben Affleck, Ben Affleck,7,Crime,9
The Transporter,Fox,25296447,2610,9107816,2573,10/11/2002,Louis Leterrier,Jason Statham,7,Action,10
The Tuxedo,DW,50547998,3022,15051028,3022,9/27/2002,Kevin Donovan,Jackie Chan,6,Thriller,9
The Twilight Saga: Eclipse,Sum.,300531751,4468,64832191,4468,6/30/2010,David Slade, Kristen Stewart,6,Adventure,6
The Twilight Saga: New Moon,Sum.,296623634,4124,142839137,4024,11/20/2009,Chris Weitz," 
Kristen Stewart",6,Adventure,11
The Ugly Truth,Sony,88915214,2975,27605576,2882,7/24/2009, Robert Luketic, Katherine Heigl,7,Comedy,7
The Uninvited,P/DW,28596818,2344,10325824,2344,1/30/2009,The Guard Brothers," 
Emily Browning",6,Action,1
The Village,BV,114197520,3733,50746142,3730,7/30/2004,M. Night Shyamalan,Sigourney Weaver,6,Drama,7
The Visit,Uni.,65206105,3148,25427560,3069,9/11/2015,M. Night Shyamalan,Olivia DeJonge,8,Drama,9
The Vow,SGem,125014030,3038,41202458,2958,2/10/2012,Michael Sucsy,Rachel McAdams,7,Drama,2
The Watch,Fox,35353000,3168,12750297,3168,7/27/2012,Akiva Schaffer,Ben Stiller,6,Drama,7
The Watcher,Uni.,28946615,2777,9062295,2742,9/8/2000,Joe Charbanic,James Spader,5,Mystery,9
The Wedding Date,Uni.,31726995,1704,11129580,1694,2/4/2005,Clare Kilner,Dermot Mulroney,7,Comedy,2
The Wedding Planner,Sony,60400856,2785,13510293,2785,1/26/2001,Adam Shankman,Jennifer Lopez,6,Comedy,1
The Wedding Ringer,SGem,64460211,3003,20649306,3003,1/16/2015,Jeremy Garelick,Kevin Hart,7,Comedy,1
The Whole Nine Yards,WB,57262492,2910,13731070,2910,2/18/2000,Jonathan Lynn,Bruce Willis,6,Comedy,2
The Wild,BV,37384046,2854,9684809,2854,4/14/2006,Steve Spaz Williams,Kiefer Sutherland,5,Family,4
The Witch,A24,25138705,2204,8800230,2046,2/19/2016,Robert Eggers,Anya Taylor-Joy,7,Mystery,2
The Wolf of Wall Street,Par.,116900694,2557,18361578,2537,12/25/2013,Martin Scorsese,Leonardo DiCaprio,8,Crime,12
The Wolfman,Uni.,61979680,3223,31479235,3222,2/12/2010,Joe Johnston,Benicio del Toro,6,Horror,2
The Wolverine,Fox,132556852,3924,53113752,3924,7/26/2013,James Mangold,Hugh Jackman,6,Action,7
The Woman in Black,CBS,54333290,2856,20874072,2855,2/3/2012,James Watkins,Daniel Radcliffe,6,Drama,2
The Woman in Black 2: Angel of Death,Rela.,26501323,2602,15027415,2602,1/2/2015,Tom Harper,Helen McCrory,5,Thriller,1
The Wood,Par.,25059640,1191,8515223,1191,7/16/1999,Rick Famuyiwa,Elayn J. Taylor,7,Comedy,7
The World Is Not Enough,MGM,126943684,3163,35519007,3163,11/19/1999,Michael Apted,Pierce Brosnan,6,Adventure,11
There Will Be Blood,ParV,40222514,1620,190739,2,12/26/2007,Paul Thomas Anderson,Daniel Day-Lewis,8,Drama,12
Think Like a Man,SGem,91547205,2052,33636303,2015,4/20/2012,Tim Story,Chris Brown,7,Comedy,4
Think Like a Man Too,SGem,65182182,2225,29241911,2225,6/20/2014,Tim Story,Kevin Hart,6,Comedy,6
Thirteen Days,NL,34592089,2034,46668,8,12/22/2000,Roger Donaldson,Kevin Costner,7,Thriller,12
