Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
Letters to Juliet,Sum.,53032453,2975,13540486,2968,5/14/2010, Gary Winick," 
Amanda Seyfried",7,Comedy,5
License to Wed,WB,43799818,2715,10422258,2604,7/3/2007,Ken Kwapis," 
Robin Williams",6,Comedy,7
Life,Uni.,63886029,2613,20414775,2594,4/16/1999,Ted Demme,Eddie Murphy,7,Comedy,4
Life as We Know It,WB,53374681,3150,14506464,3150,10/8/2010, Greg Berlanti," 
Katherine Heigl",7,Comedy,10
Life of Pi,Fox,124987023,2946,22451514,2927,11/21/2012,Ang Lee,Suraj Sharma,7,Adventure,11
Life of the Party,WB (NL),53059911,3656,17886075,3656,5/11/2018,Ben Falcone,Melissa McCarthy,4,Comedy,5
Lights Out,WB (NL),67268835,2835,21688103,2818,7/22/2016,David F. Sandberg,Teresa Palmer,6,Drama,7
Like Mike,Fox,51432760,2436,12179420,2410,7/3/2002,John Schultz,Shad Moss,6,Comedy,7
Lilo & Stitch,BV,145794338,3222,35260212,3191,6/21/2002,Dean DeBlois,Daveigh Chase,7,Animation,6
Limitless,Rela.,79249455,2838,18907302,2756,3/18/2011,Neil Burger,Bradley Cooper,7,Thriller,3
Lincoln,BV,182207973,2293,944308,11,11/9/2012,Steven Spielberg,Daniel Day-Lewis,7,History,11
Lion,Wein.,51738905,1802,123360,4,11/25/2016,Garth Davis,Dev Patel,6,Drama,11
Little Fockers,Uni.,148438600,3675,30833665,3536,12/22/2010, Paul Weitz, Robert De Niro,6,Comedy,12
Little Man,SonR,58645052,2537,21613176,2533,7/14/2006,Keenen Ivory Wayans,Shawn Wayans,1,Documentary,7
Little Miss Sunshine,FoxS,59891098,1602,370998,7,7/26/2006,Jonathan Dayton,Steve Carell,8,Comedy,7
Little Nicky,NL,39464775,2910,16063904,2910,11/10/2000,Steven Brill,Adam Sandler,5,Comedy,11
Live Free or Die Hard,Fox,134529403,3411,33369559,3408,6/27/2007,Len Wiseman,Bruce Willis,7,Action,6
Logan Lucky,BST,27780977,3031,7600036,3031,8/18/2017,Steven Soderbergh,Channing Tatum,7,Action,8
London Has Fallen,Focus,62524260,3492,21635601,3490,3/4/2016,Babak Najafi,Gerard Butler,6,Action,3
Lone Survivor,Uni.,125095601,3285,90872,2,12/25/2013,Peter Berg,Mark Wahlberg,7,Action,12
Looper,TriS,66486205,2993,20801552,2992,9/28/2012,Rian Johnson,Joseph Gordon-Levitt,7,Action,9
Lost in Translation,Focus,44585453,882,925087,23,9/12/2003,Sofia Coppola,Bill Murray,7,Drama,9
Love & Basketball,NL,27459615,1245,8139180,1237,4/21/2000,Gina Prince-Bythewood,Sanaa Lathan,7,Action,4
Love Actually,Uni.,59696144,1714,6886080,576,11/7/2003,Richard Curtis,Hugh Grant,7,Comedy,11
Love the Coopers,LGF,26302731,2603,8317545,2603,11/13/2015,Jessie Nelson,Steve Martin,6,Comedy,11
Lucy,Uni.,126663600,3202,43899340,3173,7/25/2014,Luc Besson,Scarlett Johansson,7,TV Movie,7
Machete,Fox,26593646,2678,11416164,2670,9/3/2010, Robert Rodriguez, Danny Trejo,6,Action,9
Mad Max: Fury Road,WB,153636354,3722,45428128,3702,5/15/2015,George Miller,Tom Hardy,7,Action,5
Madagascar,DW,193595521,4142,47224594,4131,5/27/2005,Eric Darnell,Chris Rock,7,Family,5
Madagascar: Escape 2 Africa,P/DW,180010950,4065,63106589,4056,11/7/2008,Eric Darnell, Ben Stiller,6,Family,11
Made of Honor,Sony,46012734,2816,14756850,2729,5/2/2008, Paul Weiland," 
Patrick Dempsey",6,Comedy,5
Magic Mike,WB,113721571,3120,39127170,2930,6/29/2012,Steven Soderbergh,Channing Tatum,6,Drama,6
Magic Mike XXL,WB,66013057,3376,12857184,3355,7/1/2015,Gregory Jacobs,Channing Tatum,6,Comedy,7
Magnolia,NL,22455976,1086,193604,7,12/17/1999,Paul Thomas Anderson,Tom Cruise,8,Drama,12
Maid in Manhattan,SonR,94011225,3050,18711407,2838,12/13/2002,Wayne Wang,Jennifer Lopez,6,Comedy,12
Maleficent,BV,241410378,3948,69431298,3948,5/30/2014,Robert Stromberg,Angelina Jolie,7,Fantasy,5
Mama,Uni.,71628180,2781,28402310,2647,1/18/2013,Andy Muschietti,Jessica Chastain,6,Horror,1
Mamma Mia!,Uni.,144130063,3194,27751240,2976,7/18/2008, Phyllida Lloyd," 
Meryl Streep",7,Comedy,7
Mamma Mia! Here We Go Again,Uni.,120634935,3514,34952180,3317,7/20/2018,Ol Parker,Lily James,7,Comedy,7
Man of Steel,WB,291045518,4207,116619362,4207,6/14/2013,Zack Snyder,Henry Cavill,7,Action,6
Man of the Year,Uni.,37327390,2626,12299380,2515,10/13/2006,Barry Levinson,Robin Williams,6,Drama,10
Man on Fire,Fox,77911774,2986,22751490,2980,4/21/2004,Tony Scott,Denzel Washington,7,Action,4
Man on the Moon,Uni.,34607430,2079,7515585,2079,12/22/1999,Milos Forman,Jim Carrey,7,Comedy,12
Manchester by the Sea,RAtt.,47695371,1213,256498,4,11/18/2016,Kenneth Lonergan,Casey Affleck,8,Drama,11
March of the Penguins,WIP,77437223,2506,137492,4,6/24/2005,Luc Jacquet,Morgan Freeman,7,Documentary,6
Marmaduke,Fox,33644788,3213,11599661,3213,6/4/2010,Tom Dey,Lee Pace,5,Family,6
Mary Poppins Returns,BV,171955008,4090,23523121,4090,12/19/2018,Rob Marshall,Emily Blunt,7,Fantasy,12
Master and Commander: The Far Side of the World,Fox,93927920,3101,25105990,3101,11/14/2003,Peter Weir,Russell Crowe,7,Adventure,11
Matchstick Men,WB,36906460,2711,13087307,2711,9/12/2003,Ridley Scott,Nicolas Cage,7,Comedy,9
Max Payne,Fox,40689393,3381,17639849,3376,10/17/2008, John Moore," 
Mark Wahlberg",5,Action,10
Maze Runner: The Death Cure,Fox,58032443,3793,24167011,3787,1/26/2018,Wes Ball,Dylan OBrien,7,Action,1
Maze Runner: The Scorch Trials,Fox,81697192,3792,30316510,3791,9/18/2015,Wes Ball,Dylan OBrien,7,Action,9
Me Before You,WB (NL),56245075,2762,18723269,2704,6/3/2016,Thea Sharrock,Emilia Clarke,8,Drama,6
Mean Girls,Par.,86058055,3054,24432195,2839,4/30/2004,Mark Waters,Lindsay Lohan,7,Comedy,4
Meet the Fockers,Uni.,279261160,3554,46120980,3518,12/22/2004,Jay Roach,Ben Stiller,6,Comedy,12
Meet the Parents,Uni.,166244045,2697,28623300,2614,10/6/2000,Jay Roach,Ben Stiller,7,Comedy,10
Meet the Robinsons,BV,97822171,3435,25123781,3413,3/30/2007,Stephen Anderson,Jordan Fry,7,Animation,3
Meet the Spartans,Fox,38233676,2643,18505530,2605,1/25/2008, Jason Friedberg,Carmen Electra,4,Comedy,1
Megamind,P/DW,148415853,3949,46016833,3944,11/5/2010,Tom McGrath," 
Will Ferrell",7,Animation,11
Memento,NM,25544867,531,235488,11,3/16/2001,Christopher Nolan,Guy Pearce,8,Mystery,3
Memoirs of a Geisha,Sony,57490508,1654,682504,8,12/9/2005,Rob Marshall,Ziyi Zhang,8,Drama,12
Men in Black II,Sony,190418803,3641,52148751,3557,7/3/2002,Barry Sonnenfeld,Tommy Lee Jones,6,Action,7
Men of Honor,Fox,48818921,2188,13339465,2092,11/10/2000,George Tillman Jr.,Cuba Gooding Jr.,7,Drama,11
Message in a Bottle,WB,52880016,2545,16751560,2538,2/12/1999,Luis Mandoki,Kevin Costner,6,Romance,2
Miami Vice,Uni.,63450470,3026,25723815,3021,7/28/2006,Michael Mann,Colin Farrell,6,Action,7
Michael Clayton,WB,49033882,2585,719910,15,10/5/2007,Tony Gilroy,George Clooney,7,Drama,10
Mickey Blue Eyes,WB,33864342,2573,10178289,2573,8/20/1999,Kelly Makin,Hugh Grant,5,Comedy,8
Midnight in Paris,SPC,56817045,1038,599003,6,5/20/2011,Woody Allen,Owen Wilson,8,Fantasy,5
Mike and Dave Need Wedding Dates,Fox,46009673,3008,16628170,2982,7/8/2016,Jake Szymanski,Zac Efron,6,Comedy,7
Mile 22,STX,36108758,3520,13710825,3520,8/17/2018,Peter Berg,Mark Wahlberg,6,Action,8
Milk,Focus,31841299,882,1453844,36,11/26/2008, Gus Van Sant," 
Sean Penn",7,Drama,11
Million Dollar Arm,BV,36457627,3019,10515659,3019,5/16/2014,Craig Gillespie,Jon Hamm,7,Drama,5
Million Dollar Baby,WB,100492203,2375,179953,8,12/15/2004,Clint Eastwood,Hilary Swank,8,Drama,12
Minions,Uni.,336045770,4311,115718405,4301,7/10/2015,Kyle Balda,Sandra Bullock,6,Family,7
Minority Report,Fox,132072926,3001,35677125,3001,6/21/2002,Steven Spielberg,Tom Cruise,7,Action,6
Miracle,BV,64378093,2755,19377577,2605,2/6/2004,Gavin OConnor,Kurt Russell,7,Drama,2
Miracles from Heaven,TriS,61705123,3155,14812393,3047,3/16/2016,Patricia Riggen,Jennifer Garner,7,Drama,3
Mirror Mirror,Rela.,64935167,3618,18132085,3603,3/30/2012,Tarsem Singh,Lily Collins,6,Adventure,3
Mirrors,Fox,30691439,2664,11161074,2664,8/15/2008,Alexandre Aja," 
Kiefer Sutherland",7,Drama,8
Miss Congeniality,WB,106807667,2668,10046534,2668,12/22/2000,Donald Petrie,Sandra Bullock,6,Comedy,12
Miss Congeniality 2: Armed and Fabulous,WB,48478006,3233,14043215,3233,3/24/2005,John Pasquin,Sandra Bullock,6,Action,3
Mission to Mars,BV,60883407,3101,22855247,3054,3/10/2000,Brian De Palma,Tim Robbins,6,Science Fiction,3
Mission: Impossible - Fallout,Par.,220159104,4395,61236534,4386,7/27/2018,Christopher McQuarrie,Tom Cruise,7,Action,7
Mission: Impossible - Ghost Protocol,Par.,209397903,3555,12785204,425,12/16/2011,Brad Bird,Tom Cruise,7,Action,12
Mission: Impossible - Rogue Nation,Par.,195042377,3988,55520089,3956,7/31/2015,Christopher McQuarrie,Tom Cruise,7,Action,7
Mission: Impossible II,Par.,215409889,3669,57845297,3653,5/24/2000,John Woo,Tom Cruise,6,Adventure,5
Mission: Impossible III,Par.,134029801,4059,47743273,4054,5/5/2006,J.J. Abrams,Tom Cruise,7,Adventure,5
Moana,BV,248757044,3875,56631401,3875,11/23/2016,Ron Clements,Aulii Cravalho,7,Drama,11
Mona Lisa Smile,SonR,63860942,2714,11528498,2677,12/19/2003,Mike Newell,Julia Roberts,7,Drama,12
Money Monster,TriS,41012075,3104,14788157,3104,5/13/2016,Jodie Foster,George Clooney,6,Thriller,5
Moneyball,Sony,75605492,3018,19501302,2993,9/23/2011,Bennett Miller,Brad Pitt,7,Drama,9
Monster,NM,34469210,1093,86831,4,12/24/2003,Patty Jenkins,Charlize Theron,7,Crime,12
Monster House,Sony,73661010,3553,22217226,3553,7/21/2006,Gil Kenan,Mitchel Musso,7,Animation,7
Monster Trucks,Par.,33370166,3119,10950705,3119,1/13/2017,Chris Wedge,Lucas Till,6,Action,1
Monster-in-Law,NL,82931301,3424,23105133,3424,5/13/2005,Robert Luketic,Jennifer Lopez,6,Romance,5
Monsters University,BV,268492764,4004,82429469,4004,6/21/2013,Dan Scanlon,Billy Crystal,7,Animation,6
Moonrise Kingdom,Focus,45512466,924,522996,4,5/25/2012,Wes Anderson,Jared Gilman,8,Comedy,5
Morning Glory,Par.,31011732,2544,9203266,2518,11/10/2010,Roger Michell," 
Rachel McAdams",6,Comedy,11
Moulin Rouge!,Fox,57386607,2283,167540,2,5/18/2001,Baz Luhrmann,Nicole Kidman,8,Drama,5
Mr. & Mrs. Smith,Fox,186336279,3451,50342878,3424,6/10/2005,Doug Liman,Brad Pitt,7,Action,6
Mr. Brooks,MGM,28549298,2453,10017067,2453,6/1/2007,Bruce A. Evans,Kevin Costner,7,Drama,6
Mr. Deeds,Sony,126293452,3239,37162787,3231,6/28/2002,Steven Brill,Adam Sandler,6,Comedy,6
Mr. Peabody & Sherman,Fox,111506430,3951,32207057,3934,3/7/2014,Rob Minkoff,Ty Burrell,7,Animation,3
Mr. Woodcock,NL,25799486,2237,8761369,2231,9/14/2007, Craig Gillespie,Billy Bob Thornton,5,Comedy,9
Munich,Uni.,47403685,1498,4152260,532,12/23/2005,Steven Spielberg,Eric Bana,7,Drama,12
Muppets from Space,Sony,16625807,2265,4826049,2265,7/14/1999,Tim Hill,Dave Goelz,6,Fantasy,7
Muppets Most Wanted,BV,51183113,3194,17005126,3194,3/21/2014,James Bobin,Ricky Gervais,6,Comedy,3
Murder by Numbers,WB,31945749,2663,9307394,2663,4/19/2002,Barbet Schroeder,Sandra Bullock,6,Crime,4
Music and Lyrics,WB,50572589,2955,13623630,2955,2/14/2007, Marc Lawrence, Hugh Grant,6,Comedy,2
Music of the Heart,Mira.,14859394,1353,3653281,1349,10/29/1999,Wes Craven,Meryl Streep,7,Drama,10
Must Love Dogs,WB,43894863,2505,12855321,2505,7/29/2005,Gary David Goldberg,Diane Lane,6,Romance,7
My Big Fat Greek Wedding,IFC,241438208,2016,597362,108,4/19/2002,Joel Zwick,Nia Vardalos,6,Comedy,4
My Big Fat Greek Wedding 2,Uni.,59689605,3179,17861950,3133,3/25/2016,Kirk Jones,Nia Vardalos,6,Romance,3
My Dog Skip,WB,34134641,2331,56943,5,1/14/2000,Jay Russell,Frankie Muniz,7,Comedy,1
My Favorite Martian,BV,36850101,2349,8828586,2275,2/12/1999,Donald Petrie,Christopher Lloyd,5,Comedy,2
My Little Pony: The Movie,LGF,21885107,2528,8885899,2528,10/6/2017,Jayson Thiessen,Emily Blunt,7,Music,10
Mystery Men,Uni.,29762011,2142,10017865,2136,8/6/1999,Kinka Usher,Ben Stiller,6,Adventure,8
Mystic River,WB,90135191,1581,640815,13,10/8/2003,Clint Eastwood,Sean Penn,8,Thriller,10
Nacho Libre,Par.,80197993,3083,28309599,3070,6/16/2006,Jared Hess,Jack Black,6,Comedy,6
Nancy Drew,WB,25612520,2612,6832318,2612,6/15/2007,Andrew Fleming, Emma Roberts,4,Mystery,6
Nanny McPhee,Uni.,47144110,2148,14503650,1995,1/27/2006,Kirk Jones,Emma Thompson,7,Fantasy,1
Napoleon Dynamite,FoxS,44540956,1027,116666,6,6/11/2004,Jared Hess,Jon Heder,7,Comedy,6
National Security,Sony,36381186,2729,14369694,2729,1/17/2003,Dennis Dugan,Martin Lawrence,6,Action,1
National Treasure,BV,173008894,3243,35142554,3017,11/19/2004,Jon Turteltaub,Nicolas Cage,7,Adventure,11
National Treasure: Book of Secrets,BV,219964115,3832,44783772,3832,12/21/2007,Jon Turteltaub,Nicolas Cage,6,Action,12
Need for Speed,BV,43577636,3115,17844939,3115,3/14/2014,Scott Waugh,Aaron Paul,6,Action,3
Neighbors,Uni.,150157400,3311,49033915,3279,5/9/2014,Nicholas Stoller,Seth Rogen,6,Comedy,5
Neighbors 2: Sorority Rising,Uni.,55455765,3416,21760405,3384,5/20/2016,Nicholas Stoller,Seth Rogen,6,Comedy,5
Nerve,LGF,38583626,2538,9445456,2538,7/27/2016,Henry Joost,Emma Roberts,7,Comedy,7
Never Been Kissed,Fox,55474756,2500,11836707,2455,4/9/1999,Raja Gosnell,Drew Barrymore,6,Romance,4
Next Friday,NL,57328603,1420,14465156,1103,1/12/2000,Steve Carr,Ice Cube,6,Comedy,1
Night at the Museum,Fox,250863268,3768,30433781,3685,12/22/2006,Shawn Levy,Ben Stiller,7,Action,12
Night at the Museum: Battle of the Smithsonian,Fox,177243721,4101,54173286,4096,5/22/2009, Shawn Levy," 
Ben Stiller",6,Adventure,5
Night at the Museum: Secret of the Tomb,Fox,113746621,3914,17100520,3785,12/19/2014,Shawn Levy,Ben Stiller,6,Adventure,12
Nightcrawler,ORF,32381217,2766,10441000,2766,10/31/2014,Dan Gilroy,Jake Gyllenhaal,8,Crime,10
Nights in Rodanthe,WB,41850659,2704,13418454,2704,9/26/2008,George C. Wolfe, Richard Gere,6,Drama,9
Ninja Assassin,WB,38122883,2503,13316158,2503,11/25/2009,James McTeigue," 
Rain",6,Action,11
No Country for Old Men,Mira.,74283625,2037,1226333,28,11/9/2007, Joel Coen,Tommy Lee Jones,8,Crime,11
No Escape,Wein.,27288872,3415,8111264,3355,8/26/2015,John Erick Dowdle,Lake Bell,7,Action,8
No Reservations,WB,43107979,2425,11704357,2425,7/27/2007,Scott Hicks,Catherine Zeta-Jones,6,Comedy,7
No Strings Attached,Par.,70662220,3050,19652921,3018,1/21/2011,Ivan Reitman,Natalie Portman,6,Comedy,1
Noah,Par.,101200044,3571,43720472,3567,3/28/2014,Darren Aronofsky,Russell Crowe,8,Drama,3
Non-Stop,Uni.,92168600,3183,28875635,3090,2/28/2014,Jaume Collet-Serra,Liam Neeson,6,TV Movie,2
Norbit,P/DW,95673607,3145,34195434,3136,2/9/2007, Brian Robbins,Eddie Murphy,5,Comedy,2
Not Another Teen Movie,Sony,38252284,2365,12615116,2365,12/14/2001,Joel Gallen,Chyler Leigh,6,Comedy,12
Notting Hill,Uni.,116089678,2786,21811180,2747,5/28/1999,Roger Michell,Julia Roberts,7,Romance,5
Now You See Me,LG/S,117723989,3082,29350389,2925,5/31/2013,Louis Leterrier,Jesse Eisenberg,7,Thriller,5
Now You See Me 2,LG/S,65075540,3232,22383146,3232,6/10/2016,Jon M. Chu,Jesse Eisenberg,7,Action,6
Nurse Betty,USA,25170054,1491,7145950,1459,9/8/2000,Neil LaBute,Renée Zellweger,6,Comedy,9
Oblivion,Uni.,89107235,3792,37054485,3783,4/19/2013,Joseph Kosinski,Tom Cruise,5,Documentary,4
Obsessed,SGem,68261644,2634,28612730,2514,4/24/2009,Steve Shill,Idris Elba,4,Drama,4
October Sky,Uni.,32547800,1702,5905250,1495,2/19/1999,Joe Johnston,Jake Gyllenhaal,8,Drama,2
Oculus,Rela.,27695246,2648,12005402,2648,4/11/2014,Mike Flanagan,Karen Gillan,7,Horror,4
Office Christmas Party,Par.,54767494,3210,16890204,3210,12/9/2016,Josh Gordon,Jason Bateman,6,Comedy,12
Old Dogs,BV,49492060,3425,16894511,3425,11/25/2009, Walt Becker, John Travolta,5,Comedy,11
Old School,DW,75585093,2742,17453216,2689,2/21/2003,Todd Phillips,Luke Wilson,4,Comedy,2
Olympus Has Fallen,FD,98925640,3106,30373794,3098,3/22/2013,Antoine Fuqua,Gerard Butler,6,Action,3
On the Basis of Sex,Focus,24622687,1957,686355,33,12/25/2018,Mimi Leder,Felicity Jones,7,Drama,12
Once Upon a Time in Mexico,Sony,56359780,3289,23424118,3282,9/12/2003,Robert Rodriguez,Antonio Banderas,6,Action,9
One Direction: This is Us,TriS,28873374,2735,15815497,2735,8/30/2013,Morgan Spurlock,Liam Payne,8,Documentary,8
One Hour Photo,FoxS,31597131,1332,321515,7,8/21/2002,Mark Romanek,Robin Williams,7,Horror,8
Open Range,BV,58331254,2268,14047781,2075,8/15/2003,Kevin Costner,Kevin Costner,7,Western,8
Open Season,Sony,85105259,3833,23624548,3833,9/29/2006,Roger Allers,Ashton Kutcher,6,Adventure,9
Open Water,Lions,30610863,2709,1100943,47,8/6/2004,Chris Kentis,Blanchard Ryan,5,Drama,8
Orange County,Par.,41076018,2317,15053226,2317,1/11/2002,Jake Kasdan,Colin Hanks,6,Comedy,1
Orphan,WB,41596251,2750,12871483,2750,7/24/2009, Jaume Collet-Serra,Vera Farmiga,7,Horror,7
Ouija,Uni.,50856010,2899,19875995,2858,10/24/2014,Stiles White,Olivia Cooke,5,Horror,10
Ouija: Origin of Evil,Uni.,35144505,3168,14065500,3167,10/21/2016,Mike Flanagan,Elizabeth Reaser,6,Horror,10
Out of Time,MGM,41088845,3076,16185316,3076,10/3/2003,Carl Franklin,Denzel Washington,5,Fantasy,10
Over the Hedge,P/DW,155019340,4093,38457003,4059,5/19/2006,Tim Johnson,Bruce Willis,6,Comedy,5
Overlord,Par.,21704844,2859,10202108,2859,11/9/2018,Julius Avery,Jovan Adepo,7,Horror,11
Oz The Great and Powerful,BV,234911825,3912,79110453,3912,3/8/2013,Sam Raimi,James Franco,6,Fantasy,3
P.S. I Love You,WB,53695808,2471,6481221,2454,12/21/2007,Richard LaGravenese,Hilary Swank,7,Drama,12
Pacific Rim,WB,101802906,3285,37285325,3275,7/12/2013,Guillermo del Toro,Idris Elba,7,Action,7
Paddington,W/Dim.,76271832,3355,18966676,3303,1/16/2015,Paul King,Hugh Bonneville,7,Comedy,1
Paddington 2,WB,40891591,3702,11001961,3702,1/12/2018,Paul King,Ben Whishaw,8,Adventure,1
Pan,WB,35088320,3515,15315435,3515,10/9/2015,Joe Wright,Levi Miller,6,Adventure,10
Panic Room,Sony,96397334,3119,30056751,3053,3/29/2002,David Fincher,Jodie Foster,7,Crime,3
Paper Towns,Fox,32000304,3031,12650140,3031,7/24/2015,Jake Schreier,Nat Wolff,6,Drama,7
Paranormal Activity,Par.,107918810,2712,77873,12,9/25/2009,Oren Peli," 
Katie Featherston",6,Horror,9
Paranormal Activity 2,Par.,84752907,3239,40678424,3216,10/22/2010, Tod Williams," 
Sprague Grayden",6,Horror,10
Paranormal Activity 3,Par.,104028807,3329,52568183,3321,10/21/2011,Henry Joost,Chloe Csengery,6,Horror,10
Paranormal Activity 4,Par.,53900335,3412,29003866,3412,10/19/2012,Henry Joost,Stephen Dunham,5,Horror,10
Paranormal Activity: The Marked Ones,Par.,32462372,2883,18343611,2867,1/3/2014,Oren Peli,Katie Featherston,5,Horror,1
ParaNorman,Focus,56003051,3455,14087050,3429,8/17/2012,Chris Butler,Kodi Smit-McPhee,7,Family,8
Parental Guidance,Fox,77267296,3368,14554053,3367,12/25/2012,Andy Fickman,Billy Crystal,6,Comedy,12
Patriots Day,LGF,31886361,3120,161306,7,12/21/2016,Peter Berg,Mark Wahlberg,7,Action,12
Paul,Uni.,37412945,2806,13043310,2802,3/18/2011,Greg Mottola,Simon Pegg,7,Adventure,3
Paul Blart: Mall Cop,Sony,146336178,3206,31832636,3144,1/16/2009,Steve Carr,Kevin James,5,Action,1
Paul Blart: Mall Cop 2,Sony,71038190,3633,23762435,3633,4/17/2015,Andy Fickman,Kevin James,5,Action,4
Pay It Forward,WB,33519628,2130,9631359,2130,10/20/2000,Mimi Leder,Kevin Spacey,7,Drama,10
Payback,Par.,81526121,2855,21221526,2729,2/5/1999,Brian Helgeland,Mel Gibson,7,Crime,2
Paycheck,Par.,53790451,2762,13462374,2762,12/25/2003,John Woo,Ben Affleck,6,Action,12
Pearl Harbor,BV,198542554,3255,59078912,3214,5/25/2001,Michael Bay,Ben Affleck,7,History,5
Penguins of Madagascar,Fox,83350911,3775,25447444,3764,11/26/2014,Eric Darnell,Tom McGrath,6,Family,11
Peppermint,STX,35418723,2980,13423255,2980,9/7/2018,Pierre Morel,Jennifer Garner,7,Comedy,9
Percy Jackson & The Olympians: The Lightning Thief,Fox,88768303,3396,31236067,3356,2/12/2010,Chris Columbus,Logan Lerman,6,Adventure,2
Percy Jackson: Sea of Monsters,Fox,68559554,3080,14401054,3031,8/7/2013,Thor Freudenthal,Logan Lerman,6,Adventure,8
Perfect Stranger,SonR,23984949,2661,11206163,2661,4/13/2007, James Foley,Halle Berry,6,Crime,4
Peter Pan,Uni.,48462608,2813,11139495,2813,12/25/2003,P.J. Hogan,Jeremy Sumpter,7,Music,12
Peter Rabbit,Sony,115253424,3725,25010928,3725,2/9/2018,Will Gluck,James Corden,7,Animation,2
Phantom Thread,Focus,21198205,1186,216495,4,12/25/2017,Paul Thomas Anderson,Vicky Krieps,7,Drama,12
Philomena,Wein.,37709979,1225,128435,4,11/22/2013,Stephen Frears,Judi Dench,7,Drama,11
Phone Booth,Fox,46566212,2489,15021088,2481,4/4/2003,Joel Schumacher,Colin Farrell,7,Thriller,4
Pineapple Express,Sony,87341380,3072,23245025,3072,8/6/2008,David Gordon Green," 
Seth Rogen",7,Action,8
Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,5/26/2017,Joachim Rønning,Johnny Depp,7,Adventure,5
Pirates of the Caribbean: On Stranger Tides,BV,241071802,4164,90151958,4155,5/20/2011,Rob Marshall,Johnny Depp,6,Adventure,5
Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,3416,46630690,3269,7/9/2003,Gore Verbinski,Johnny Depp,8,Adventure,7
Pitch Black,USA,39240659,1930,11577688,1832,2/18/2000,David Twohy,Radha Mitchell,7,Thriller,2
Pitch Perfect,Uni.,65001093,2787,5149433,335,9/28/2012,Jason Moore,Anna Kendrick,7,Comedy,9
Pitch Perfect 2,Uni.,184296230,3660,69216890,3473,5/15/2015,Elizabeth Banks,Anna Kendrick,7,Comedy,5
Pitch Perfect 3,Uni.,104897530,3468,19928525,3447,12/22/2017,Trish Sie,Anna Kendrick,7,Comedy,12
Pixels,Sony,78747585,3723,24011616,3723,7/24/2015,Chris Columbus,Adam Sandler,7,Science Fiction,7
Planes,BV,90288712,3716,22232291,3702,8/9/2013,Klay Hall,Carlos Alazraqui,6,Animation,8
Planes: Fire & Rescue,BV,59165787,3839,17509407,3826,7/18/2014,Roberts Gannaway,Dane Cook,6,Animation,7
Planet 51,Sony,42194060,3035,12286129,3035,11/20/2009,Jorge Blanco, Dwayne Johnson,6,Science Fiction,11
Poseidon,WB,60674817,3555,22155410,3555,5/12/2006,Wolfgang Petersen,Richard Dreyfuss,6,Adventure,5
Predators,Fox,52000688,2669,24760882,2669,7/9/2010,Nimród Antal,Adrien Brody,6,Action,7
Premonition,Sony,47852604,2831,17558689,2831,3/16/2007,Mennan Yapo,Sandra Bullock,6,Music,3
Pride and Prejudice,Focus,38405088,1335,2865017,215,11/11/2005,Joe Wright,Keira Knightley,5,Comedy,11
Prince of Persia: The Sands of Time,BV,90759676,3646,30095259,3646,5/28/2010,Ubisoft Montreal,Raphaël Lacoste,6,Adventure,5
Prisoners,WB,61002302,3290,20817053,3260,9/20/2013,Denis Villeneuve,Hugh Jackman,8,Drama,9
Project Almanac,Par.,22348241,2900,8310252,2893,1/30/2015,Dean Israelite,Amy Landecker,7,Science Fiction,1
Project X,WB,54731865,3055,21051363,3055,3/2/2012,Nima Nourizadeh,Thomas Mann,3,Crime,3
Prometheus,Fox,126477084,3442,51050101,3396,6/8/2012,Ridley Scott,Noomi Rapace,6,Science Fiction,6
Proof of Life,WB,32598931,2705,10207869,2705,12/8/2000,Taylor Hackford,Meg Ryan,6,Action,12
Public Enemies,Uni.,97104620,3336,25271675,3334,7/1/2009,Michael Mann,Johnny Depp,7,Crime,7
Push,Sum.,31811527,2313,10079109,2313,2/6/2009,Paul McGuigan,Chris Evans,4,Drama,2
Puss in Boots,P/DW,149260504,3963,34077439,3952,10/28/2011,Chris Miller,Antonio Banderas,5,Animation,10
Quantum of Solace,Sony,168368427,3501,67528882,3451,11/14/2008, Marc Forster," 
Daniel Craig",6,Adventure,11
Quarantine,SGem,31691811,2463,14211321,2461,10/10/2008, John Erick Dowdle," 
Jennifer Carpenter",6,Horror,10
Queen of the Damned,WB,30336800,2511,14757535,2511,2/22/2002,Michael Rymer,Aaliyah,6,Drama,2
R.I.P.D.,Uni.,33618855,2852,12691415,2852,7/19/2013,Robert Schwentke,Ryan Reynolds,6,Fantasy,7
Race to Witch Mountain,BV,67172594,3268,24402214,3187,3/13/2009, Andy Fickman, Dwayne Johnson,6,Adventure,3
Racing Stripes,WB,49772522,3185,13920052,3185,1/14/2005,Frederik Du Chau,Frankie Muniz,5,Comedy,1
Radio,SonR,52333738,3074,13303724,3074,10/24/2003,Michael Tollin,Cuba Gooding Jr.,7,Drama,10
Raising Helen,BV,37486512,2721,10985597,2717,5/28/2004,Garry Marshall,Kate Hudson,6,Drama,5
Ralph Breaks the Internet,BV,201088809,4017,56237634,4017,11/21/2018,Phil Johnston,John C. Reilly,7,Family,11
